sku,description,sobime_reference,image_url,product_page,match_status,usage_status
03432,"CODO LATON MACHO 1/2 - TUERCA LOCA 1/2 NIQUEL",072002-MHN,https://www.sobime.com/cataleg/big/imagen-2038-1.jpg,https://www.sobime.com/es/Racores/RACORES-DE-LAT-N-PARA-ROSCAR-CON-TUERCA-LOCA/72MH-CODO-MACHO-CON-TUERCA-LOCA.html,exact,permission_required
03433,"CODO LATON MACHO 1/2 - TUERCA LOCA 1/2",072002-MH,https://www.sobime.com/cataleg/big/imagen-2037-1.jpg,https://www.sobime.com/es/Racores/RACORES-DE-LAT-N-PARA-ROSCAR-CON-TUERCA-LOCA/72MH-CODO-MACHO-CON-TUERCA-LOCA.html,exact,permission_required
03434,"CODO LATON MACHO 3/4 - TUERCA LOCA 3/4",072003-MH,https://www.sobime.com/cataleg/big/imagen-2037-1.jpg,https://www.sobime.com/es/Racores/RACORES-DE-LAT-N-PARA-ROSCAR-CON-TUERCA-LOCA/72MH-CODO-MACHO-CON-TUERCA-LOCA.html,exact,permission_required
03061,"RACOR MARSELLA LATON 3/8",062001,https://www.sobime.com/cataleg/big/imagen-1981-1.jpg,https://www.sobime.com/es/Racores/RACORES-DE-LAT-N-PARA-ROSCAR/62-RACOR-MARSELLA.html,exact,permission_required
03062,"RACOR MARSELLA LATON 1/2",062002,https://www.sobime.com/cataleg/big/imagen-1981-1.jpg,https://www.sobime.com/es/Racores/RACORES-DE-LAT-N-PARA-ROSCAR/62-RACOR-MARSELLA.html,exact,permission_required
03063,"RACOR MARSELLA LATON 1/2 X 2 CM",062222,https://www.sobime.com/cataleg/big/imagen-1981-1.jpg,https://www.sobime.com/es/Racores/RACORES-DE-LAT-N-PARA-ROSCAR/62-RACOR-MARSELLA.html,exact,permission_required
03064,"RACOR MARSELLA LATON 1/2 X 3 CM",062322,https://www.sobime.com/cataleg/big/imagen-1981-1.jpg,https://www.sobime.com/es/Racores/RACORES-DE-LAT-N-PARA-ROSCAR/62-RACOR-MARSELLA.html,exact,permission_required
03065,"RACOR MARSELLA LATON 3/4",062003,https://www.sobime.com/cataleg/big/imagen-1981-1.jpg,https://www.sobime.com/es/Racores/RACORES-DE-LAT-N-PARA-ROSCAR/62-RACOR-MARSELLA.html,exact,permission_required
03066,"RACOR MARSELLA LATON 1",062004,https://www.sobime.com/cataleg/big/imagen-1981-1.jpg,https://www.sobime.com/es/Racores/RACORES-DE-LAT-N-PARA-ROSCAR/62-RACOR-MARSELLA.html,exact,permission_required
03067,"RACOR MARSELLA LATON 1 1/4",062005,https://www.sobime.com/cataleg/big/imagen-1981-1.jpg,https://www.sobime.com/es/Racores/RACORES-DE-LAT-N-PARA-ROSCAR/62-RACOR-MARSELLA.html,exact,permission_required
03068,"RACOR MARSELLA LATON 1 1/2",062006,https://www.sobime.com/cataleg/big/imagen-1981-1.jpg,https://www.sobime.com/es/Racores/RACORES-DE-LAT-N-PARA-ROSCAR/62-RACOR-MARSELLA.html,exact,permission_required
03069,"RACOR MARSELLA LATON 2",062007,https://www.sobime.com/cataleg/big/imagen-1981-1.jpg,https://www.sobime.com/es/Racores/RACORES-DE-LAT-N-PARA-ROSCAR/62-RACOR-MARSELLA.html,exact,permission_required
03070,"RACOR MARSELLA LATON 2 1/2",062008,https://www.sobime.com/cataleg/big/imagen-1981-1.jpg,https://www.sobime.com/es/Racores/RACORES-DE-LAT-N-PARA-ROSCAR/62-RACOR-MARSELLA.html,exact,permission_required
